Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
9/21/2018,2929.67,9/21/2018,10.63,9/21/2018,11.68,9/21/2018,14.58,9/21/2018,15.9,9/21/2018,17
9/24/2018,2919.37,9/24/2018,11.63,9/24/2018,12.2,9/24/2018,14.77,9/24/2018,15.96,9/24/2018,17.07
9/25/2018,2915.56,9/25/2018,11.76,9/25/2018,12.42,9/25/2018,14.92,9/25/2018,16.05,9/25/2018,17.11
9/26/2018,2905.97,9/26/2018,12.7,9/26/2018,12.89,9/26/2018,15.15,9/26/2018,16.2,9/26/2018,17.25
9/27/2018,2914,9/27/2018,12.09,9/27/2018,12.41,9/27/2018,14.89,9/27/2018,16.07,9/27/2018,17.23
9/28/2018,2913.98,9/28/2018,11.17,9/28/2018,12.12,9/28/2018,14.77,9/28/2018,15.98,9/28/2018,17.22
10/1/2018,2924.59,10/1/2018,11.19,10/1/2018,12,10/1/2018,14.74,10/1/2018,15.95,10/1/2018,17.2
10/2/2018,2923.43,10/2/2018,11.13,10/2/2018,12.05,10/2/2018,14.84,10/2/2018,16.03,10/2/2018,17.22
10/3/2018,2925.51,10/3/2018,10.81,10/3/2018,11.61,10/3/2018,14.68,10/3/2018,15.96,10/3/2018,17.17
10/4/2018,2901.61,10/4/2018,15.42,10/4/2018,14.22,10/4/2018,15.84,10/4/2018,16.7,10/4/2018,17.61
10/5/2018,2885.57,10/5/2018,14.86,10/5/2018,14.82,10/5/2018,16.25,10/5/2018,17.14,10/5/2018,17.97
10/8/2018,2884.43,10/8/2018,14.92,10/8/2018,15.69,10/8/2018,16.51,10/8/2018,17.36,10/8/2018,18.14
10/9/2018,2880.34,10/9/2018,14.4,10/9/2018,15.95,10/9/2018,16.63,10/9/2018,17.4,10/9/2018,18.22
10/10/2018,2785.68,10/10/2018,25.98,10/10/2018,22.96,10/10/2018,20.7,10/10/2018,20.31,10/10/2018,19.99
10/11/2018,2728.37,10/11/2018,29.58,10/11/2018,24.98,10/11/2018,21.56,10/11/2018,20.88,10/11/2018,20.53
10/12/2018,2767.13,10/12/2018,22.84,10/12/2018,21.31,10/12/2018,19.84,10/12/2018,19.87,10/12/2018,19.83
10/15/2018,2750.79,10/15/2018,23.91,10/15/2018,21.3,10/15/2018,20.29,10/15/2018,20.27,10/15/2018,20.19
