,Date,SPX_Close,9D_Close,vx_Close,3M_Close,6M_Close,1Y_Close,VX1Y/VX,VX1Y/VX9D,VX1Y/VX3M,VX1Y/VX6M,VX3M/VX
0,2018-06-08,2779.03,11.56,12.18,14.6,16.13,17.23,1.4146141215106733,1.490484429065744,1.18013698630137,1.0681959082455053,1.1986863711001643
1,2018-06-11,2782.0,12.53,12.35,14.55,16.12,17.17,1.3902834008097167,1.3703112529928174,1.1800687285223368,1.065136476426799,1.1781376518218625
2,2018-06-12,2786.85,12.03,12.34,14.59,16.17,17.23,1.3962722852512157,1.432252701579385,1.1809458533241948,1.0655534941249225,1.1823338735818476
3,2018-06-13,2775.63,12.66,12.94,14.92,16.43,17.44,1.3477588871715611,1.377567140600316,1.1689008042895443,1.061472915398661,1.1530139103554868
4,2018-06-14,2782.49,11.04,12.12,14.4,16.09,17.31,1.4282178217821782,1.5679347826086956,1.2020833333333332,1.0758234928527035,1.1881188118811883
5,2018-06-15,2779.66,10.84,11.98,14.42,16.32,17.54,1.4641068447412353,1.618081180811808,1.2163661581137308,1.0747549019607843,1.2036727879799665
6,2018-06-18,2773.75,11.69,12.31,14.48,16.35,17.61,1.430544272948822,1.5064157399486742,1.216160220994475,1.0770642201834861,1.1762794476035743
7,2018-06-19,2762.59,12.97,13.35,15.17,16.89,18.09,1.355056179775281,1.3947571318427139,1.1924851680949242,1.0710479573712255,1.1363295880149813
8,2018-06-20,2767.32,12.16,12.79,14.79,16.52,17.77,1.3893666927286943,1.4613486842105263,1.2014874915483436,1.0756658595641646,1.1563721657544956
9,2018-06-21,2749.76,14.56,14.64,15.87,17.2,18.18,1.2418032786885245,1.2486263736263736,1.1455576559546314,1.0569767441860465,1.0840163934426228
10,2018-06-22,2754.88,12.16,13.77,15.5,16.92,18.12,1.3159041394335513,1.4901315789473686,1.1690322580645163,1.0709219858156027,1.1256354393609296
11,2018-06-25,2717.07,17.68,17.33,17.52,18.27,18.87,1.0888632429313332,1.0673076923076923,1.077054794520548,1.032840722495895,1.0109636468551646
12,2018-06-26,2723.06,15.16,15.92,16.87,17.79,18.49,1.16143216080402,1.2196569920844327,1.0960284528749258,1.0393479482855537,1.059673366834171
